task,sub,t1_ec,t1_fc
EMOTION,106824,0.8055192844955281,0.6399311870699191
SOCIAL,106824,0.7749429058931617,0.6073181707385671
GAMBLING,106824,0.64958262239139,0.4123835148969681
MOTOR_HF,107018,0.7670402940018375,0.5529133932087075
WM,107018,0.8270322314514466,0.7049916561978512
RELATIONAL,107018,0.7893388708679429,0.6156497853111581
LANGUAGE,107018,0.8497412483828023,0.8018997618735116
EMOTION,107018,0.8495976224851405,0.8223235145219657
SOCIAL,107018,0.8033947087169294,0.6291284945530909
GAMBLING,107018,0.6848896555603472,0.40319764498528116
MOTOR_HF,107321,0.7204777529859562,0.47453265332908323
WM,107321,0.7338660866630415,0.5524924530778317
RELATIONAL,107321,0.8115654472840454,0.6991305570659816
LANGUAGE,107321,0.8443549022181388,0.7697579359870999
EMOTION,107321,0.7829409558809741,0.6244428402677515
SOCIAL,107321,0.7812532578328614,0.5946327789548685
GAMBLING,107321,0.6550587816173851,0.42206570041062746
MOTOR_HF,107422,0.7334440215251344,0.48238501490634317
WM,107422,0.8394163088519302,0.7247923424521403
RELATIONAL,107422,0.7738252114075711,0.6715046969043557
LANGUAGE,107422,0.8260011625072656,0.7363722273264207
EMOTION,107422,0.7997206232538953,0.720006187538672
SOCIAL,107422,0.7575118594491215,0.6246888418052612
GAMBLING,107422,0.8069943562147263,0.7368278551740948
MOTOR_HF,107725,0.8400898130613315,0.7416543228395176
WM,107725,0.6840265876661729,0.49539534622091386
RELATIONAL,107725,0.7527108919430746,0.6282588641179008
LANGUAGE,107725,0.8201003131269571,0.7313914461965387
EMOTION,107725,0.7337567734798341,0.5473170457315357
SOCIAL,107725,0.7127622672641704,0.5460861005381282
GAMBLING,107725,0.7418251364071026,0.43585172407327544
MOTOR_HF,108020,0.8213826336414601,0.6773470459190369
WM,108020,0.797239982749892,0.6372266701666885
RELATIONAL,108020,0.8165224157650985,0.6687893049331558
LANGUAGE,108020,0.8487609922562015,0.7584441152757205
EMOTION,108020,0.7417675735473346,0.5791078694241838
SOCIAL,108020,0.8380839255245345,0.6667095419346369
GAMBLING,108020,0.7579425496409351,0.6373386083663021
MOTOR_HF,108222,0.8204256276601729,0.68253314083213
WM,108222,0.8133780211126319,0.6762289764311026
RELATIONAL,108222,0.7673061706635665,0.627219357620985
LANGUAGE,108222,0.8284480528003298,0.7003545647160294
EMOTION,108222,0.7195588097425609,0.4732495828098925
SOCIAL,108222,0.749097931862074,0.44961299758123485
GAMBLING,108222,0.7285781786136163,0.5416657604110026
MOTOR_HF,108323,0.8035240845255283,0.6060291001818761
WM,108323,0.8136157725985786,0.7198044362777267
RELATIONAL,108323,0.7096133725835786,0.573554834717717
LANGUAGE,108323,0.8523718898243113,0.7217790111188195
EMOTION,108323,0.8011272570453565,0.6388935555847224
SOCIAL,108323,0.8583383646147789,0.727112669454184
GAMBLING,108323,0.7514701966887293,0.5516430727692048
MOTOR_HF,108525,0.7665968537303357,0.6551452196576228
WM,108525,0.7691959949749685,0.6153304708154425
RELATIONAL,108525,0.6653310333189582,0.4477556109725686
LANGUAGE,108525,0.755335908349427,0.5926135788348678
EMOTION,108525,0.7805536909605685,0.646483228020175
SOCIAL,108525,0.7150053437833985,0.4031668947930924
GAMBLING,108525,0.7543624022650142,0.552546265914162
MOTOR_HF,108828,0.7098246864042901,0.5299701873136707
WM,108828,0.7585821161382257,0.583726960793505
RELATIONAL,108828,0.8058055987849924,0.6170273564209776
LANGUAGE,108828,0.812302514390715,0.7255151594697467
EMOTION,108828,0.767249545309658,0.6555987849924061
SOCIAL,108828,0.7665205407533796,0.580826880168001
GAMBLING,108828,0.657688110550691,0.504071025443909
MOTOR_HF,109123,0.7295070594191213,0.5276787354920968
WM,109123,0.8345620910130688,0.6583696773104831
RELATIONAL,109123,0.7192481203007518,0.6013209457559109
LANGUAGE,109123,0.8195571222320138,0.7449415933849587
EMOTION,109123,0.8010938818367613,0.7031359570997318
SOCIAL,109123,0.8056297226857667,0.6449661560384752
GAMBLING,109123,0.7361509759435996,0.5110335064594154
MOTOR_HF,109325,0.7358768492303076,0.5073374833592709
WM,109325,0.7548287176794855,0.5930165188532428
RELATIONAL,109325,0.7973545459659122,0.6704788779929873
LANGUAGE,109325,0.8178060487878047,0.6995646222788892
EMOTION,109325,0.7143402771267319,0.4926760167251045
SOCIAL,109325,0.7774893593084955,0.5515888849305307
GAMBLING,109325,0.6733397708735679,0.45612716329477054
MOTOR_HF,109830,0.7107764423527646,0.4661817261357883
WM,109830,0.7857463484146775,0.6626184538653367
RELATIONAL,109830,0.6807215045094033,0.4781334258339114
LANGUAGE,109830,0.7318933868336678,0.6012540078375489
EMOTION,109830,0.7646374664841654,0.6686033037706486
SOCIAL,109830,0.6555455346595915,0.4385551159694748
GAMBLING,109830,0.6882298014362589,0.4981864886655541
MOTOR_HF,110007,0.6964899780623628,0.5156619728873304
WM,110007,0.7650835317720736,0.5247229670185438
RELATIONAL,110007,0.7654845967787298,0.5717283858024111
LANGUAGE,110007,0.8392985581159882,0.7254116588228675
EMOTION,110007,0.816574166088538,0.689609622560141
SOCIAL,110007,0.8141482759267245,0.7256844730279564
GAMBLING,110007,0.6723304520653254,0.450549565934787
MOTOR_HF,110411,0.7498878742992143,0.6380123000768755
WM,110411,0.8195434346464665,0.6497614985093657
RELATIONAL,110411,0.8198046237788985,0.658143550897193
LANGUAGE,110411,0.8559122869517934,0.7891414321339508
EMOTION,110411,0.7915451971574821,0.5895685598034986
SOCIAL,110411,0.8161738510865693,0.7535583972399827
GAMBLING,110411,0.7104710029437684,0.44234301464384146
MOTOR_HF,110613,0.7555142219638872,0.528589616185101
WM,110613,0.829329120807005,0.6522020137625859
RELATIONAL,110613,0.763852774079838,0.6069345433408958
LANGUAGE,110613,0.8477514859467872,0.7991414321339508
EMOTION,110613,0.777362796017475,0.610661316633229
SOCIAL,110613,0.7565216657604109,0.497386796167476
GAMBLING,110613,0.7226373914836968,0.5423004518778242
MOTOR_HF,111009,0.8283848649054056,0.7373371083569272
WM,111009,0.8325995162469765,0.6862762267264171
RELATIONAL,111009,0.8494163088519303,0.666451727823299
LANGUAGE,111009,0.8830579566122289,0.8322907018168862
EMOTION,111009,0.7453077831736448,0.532968331052069
