sub_id,roi,time,global_baseline_energy,global_evoked_energy,global_effect_size
id_100206,100,170,339.95966917466984,332.5534390053554,0.0002480799198867
id_100206,100,171,346.454335035915,335.27202134175377,0.0002453269249583
id_100206,100,172,347.9303067739615,332.8462484845384,0.0002708773819265
id_100206,100,173,347.03977870618195,327.1858669174916,0.0002657051589536
id_100206,100,174,343.0893061064196,316.2386506804528,0.0002711767543075
id_100206,100,175,333.487649042017,302.4285267068402,0.0002665288323278
id_100206,100,176,317.33995269560364,285.5257493854325,0.0002500617222492
id_100206,100,177,297.19629568597793,267.8507765455681,0.0002667549270155
id_100206,100,178,278.008785882964,258.4023284870094,0.0002784939422752
id_100206,100,179,265.0709391578357,258.5111428093255,0.0002664937017929
id_100206,100,180,262.0257885305908,267.13596584643324,0.0002594713062641
id_100206,100,181,269.43440854074373,283.84985433011883,0.0002709128614485
id_100206,100,182,284.70085715600476,301.2737519591825,0.0002638759616643
id_100206,100,183,303.1084361782507,314.8396803659382,0.000262600999008
id_100206,100,184,319.1094465482074,320.0217310765446,0.0002583511814773
id_100206,100,185,327.507429715576,314.7313987078146,0.0002897386235842
id_100206,100,186,324.57204718544244,298.0469170224316,0.0002788241092279
id_100206,100,187,309.1520626014163,270.3162854589697,0.0002720618591735
id_100206,100,188,283.1520276169149,236.71212688467543,0.0003141156055095
id_100206,100,189,250.47477627235472,203.06387682367364,0.0003328284112603
id_100206,100,190,215.31992074965592,172.3739735845117,0.0003134146330879
id_100206,100,191,182.0230310352976,149.18343439609384,0.0003095622563204
id_100206,100,192,156.0087556252317,136.37243309013536,0.000297357071651
id_100206,100,193,142.93268219269453,138.5544086362396,0.0002953065293649
id_100206,100,194,145.58444776882348,154.12072076316036,0.0002838074783965
id_100206,100,195,161.53988995453523,175.23541175207788,0.0002800918501844
id_100206,100,196,183.9406579185658,195.06070683228324,0.0002834386415031
id_100206,100,197,205.07944175044747,207.8249889766696,0.0002658095704516
id_100206,100,198,220.2599927456292,217.16593034952177,0.0002695788057325
id_100206,100,199,228.95949023320665,223.35163053826295,0.0002644095614439
id_100206,100,200,232.7954013562706,225.5899927488055,0.0002668477268458
id_100206,100,201,232.63630019246415,222.04475362591876,0.0002874965345007
id_100206,100,202,227.52338545553903,211.00873039168565,0.0002702061059984
id_100206,100,203,216.2838587867629,194.2728900888247,0.000298454829161
id_100206,100,204,200.26839605505597,175.00487073044314,0.0003033430775362
