task,sub,t1_ec,t1_fc,p_spin,best_seed_net
RELATIONAL,102109,0.6918080738004612,0.4366902293139332,0.000999000999000999,Cont
SOCIAL,102109,0.7407858174113587,0.5271559822248889,0.000999000999000999,Vis
EMOTION,102109,0.7205773161082255,0.47915268220426366,0.000999000999000999,Default
LANGUAGE,102109,0.8445551534697091,0.7563902274389214,0.000999000999000999,Limbic
MOTOR,102311,0.7808898805617535,0.5235477096731854,0.000999000999000999,Vis
WM,102311,0.7207275045469034,0.4887343670897943,0.000999000999000999,Cont
GAMBLING,102311,0.7170852942830892,0.44128157050981565,0.000999000999000999,DorsAttn
RELATIONAL,102311,0.7090096188101175,0.46249151557197227,0.000999000999000999,Vis
SOCIAL,102311,0.7689169932312078,0.6083526147038418,0.000999000999000999,Cont
EMOTION,102311,0.7498233738960868,0.5640155250970319,0.000999000999000999,Cont
LANGUAGE,102311,0.8240155250970317,0.7355222845142783,0.000999000999000999,Default
MOTOR,102513,0.7659857874111712,0.5926677666735416,0.001998001998001998,SalVentAttn
WM,102513,0.7988354302214389,0.676443477771736,0.000999000999000999,DorsAttn
GAMBLING,102513,0.6982080513003205,0.5132135825848911,0.000999000999000999,Vis
RELATIONAL,102513,0.7587433671460446,0.5783979899874373,0.000999000999000999,Cont
SOCIAL,102513,0.7769472934205838,0.6783424896405601,0.000999000999000999,Vis
EMOTION,102513,0.7258920368252301,0.5047062794142463,0.000999000999000999,Vis
LANGUAGE,102513,0.7996118725742035,0.7289297433108958,0.000999000999000999,SomMot
MOTOR,102614,0.8273911086944292,0.6752256576603604,0.000999000999000999,Default
WM,102614,0.8109440684004275,0.6740020250126563,0.000999000999000999,Cont
GAMBLING,102614,0.7288348677179232,0.5833146457165357,0.000999000999000999,Default
RELATIONAL,102614,0.7476500478127988,0.551110381939887,0.000999000999000999,DorsAttn
SOCIAL,102614,0.84392271201695,0.7574539215870099,0.000999000999000999,DorsAttn
EMOTION,102614,0.8333545834661465,0.7410230063937898,0.000999000999000999,Default
LANGUAGE,102614,0.862299139369621,0.8039596497478109,0.000999000999000999,Default
MOTOR,102715,0.8125698910618191,0.6170774192338702,0.000999000999000999,SalVentAttn
WM,102715,0.8648343427146419,0.788178613616335,0.000999000999000999,DorsAttn
GAMBLING,102715,0.7287518046987793,0.5943496521853261,0.000999000999000999,Default
RELATIONAL,102715,0.8088853055331594,0.6789507434421465,0.000999000999000999,Cont
SOCIAL,102715,0.7991656197851236,0.6264059775373595,0.000999000999000999,Default
EMOTION,102715,0.8472647329045805,0.7099941874636716,0.000999000999000999,Cont
LANGUAGE,102715,0.8470378564866029,0.779321058256614,0.000999000999000999,Default
MOTOR,102816,0.7312506328164551,0.5459231620197625,0.000999000999000999,SalVentAttn
WM,102816,0.8333678960493502,0.7402283764273526,0.000999000999000999,Cont
GAMBLING,102816,0.7204040650254064,0.5997886861792886,0.000999000999000999,Default
RELATIONAL,102816,0.7282549265932912,0.5297104981906137,0.001998001998001998,SomMot
SOCIAL,102816,0.7195289970562314,0.49145350908443175,0.000999000999000999,Default
EMOTION,102816,0.6984116775729847,0.5555048469052931,0.000999000999000999,Vis
LANGUAGE,102816,0.8384859280370501,0.7339720248251551,0.000999000999000999,Default
MOTOR,103010,0.7784977406108787,0.7018971368571053,0.000999000999000999,Default
WM,103010,0.796365477284233,0.6966126038287739,0.000999000999000999,Cont
GAMBLING,103010,0.6600825005156282,0.4752753454709091,0.000999000999000999,DorsAttn
LANGUAGE,103010,0.8606691916824479,0.8020593253707836,0.000999000999000999,Default
MOTOR,103111,0.7499248120300752,0.6332267076669229,0.001998001998001998,SomMot
WM,103111,0.80933362083513,0.6693129957062233,0.000999000999000999,Cont
GAMBLING,103111,0.7191084319276994,0.5649963437271482,0.000999000999000999,Cont
RELATIONAL,103111,0.7710200063750396,0.6152235951474696,0.000999000999000999,Vis
SOCIAL,103111,0.7570832317701985,0.5923797648735304,0.000999000999000999,Default
EMOTION,103111,0.7845343408396303,0.5535345845911537,0.000999000999000999,Default
LANGUAGE,103111,0.80046819042619,0.6528205801286258,0.000999000999000999,Default
MOTOR,103212,0.7644224026400164,0.5377901111881949,0.000999000999000999,Default
WM,103212,0.8272150450940318,0.6637042731517071,0.000999000999000999,Cont
GAMBLING,103212,0.6872859205370032,0.47837492734329584,0.028971028971028972,DorsAttn
RELATIONAL,103212,0.7641503384396152,0.5638126488290551,0.000999000999000999,SalVentAttn
SOCIAL,103212,0.7688268051675322,0.6603093769336058,0.000999000999000999,Cont
EMOTION,103212,0.7788221176382352,0.497160482253014,0.000999000999000999,Cont
LANGUAGE,103212,0.864469277932987,0.756250726567041,0.000999000999000999,Default
MOTOR,103414,0.7732928955805973,0.5333429583934899,0.000999000999000999,Default
WM,103414,0.7687178669866686,0.6018519490746818,0.000999000999000999,Cont
RELATIONAL,103414,0.7302776892355577,0.5246429040181501,0.000999000999000999,Cont
SOCIAL,103414,0.7679271745448409,0.6798370614816343,0.000999000999000999,Default
EMOTION,103414,0.6637820861380382,0.44250126563291015,0.03496503496503497,Default
LANGUAGE,103414,0.8533879586747416,0.8147780923630773,0.000999000999000999,Default
MOTOR,103515,0.7597039356495976,0.6344494028087676,0.000999000999000999,SomMot
WM,103515,0.7250848442802766,0.5224902030637691,0.000999000999000999,Cont
GAMBLING,103515,0.6385474284214275,0.4322200138750867,0.12487512487512488,Limbic
RELATIONAL,103515,0.7256630978943617,0.5818573866086663,0.000999000999000999,Cont
SOCIAL,103515,0.7553925337033355,0.6083374271089194,0.000999000999000999,DorsAttn
EMOTION,103515,0.7657761611010069,0.6201586259914124,0.000999000999000999,Default
LANGUAGE,103515,0.7750666566666041,0.6189831811448822,0.000999000999000999,Default
MOTOR,103818,0.8068715429471434,0.6791695573097332,0.000999000999000999,SalVentAttn
WM,103818,0.8204226276414226,0.6507301295633097,0.000999000999000999,Cont
GAMBLING,103818,0.6648647179044869,0.43290158063487894,0.000999000999000999,Default
RELATIONAL,103818,0.8442782142388389,0.6962421015131344,0.000999000999000999,Cont
SOCIAL,103818,0.8049085931787072,0.6896576228601429,0.000999000999000999,Default
EMOTION,103818,0.7827992049950311,0.6785481784261151,0.000999000999000999,Default
LANGUAGE,103818,0.8193488084300525,0.706135975849849,0.000999000999000999,SomMot
MOTOR,104012,0.8359454746592165,0.7617311983199895,0.000999000999000999,SomMot
WM,104012,0.7864237901486884,0.6695124969531059,0.000999000999000999,Cont
GAMBLING,104012,0.7085901786886168,0.4582356139725873,0.000999000999000999,DorsAttn
RELATIONAL,104012,0.6917580109875687,0.5175071719198244,0.006993006993006993,Cont
SOCIAL,104012,0.7312705079406745,0.5729375808598803,0.000999000999000999,Default
EMOTION,104012,0.7333225207657547,0.537531922074513,0.000999000999000999,Vis
LANGUAGE,104012,0.841129694560591,0.7510976318601991,0.000999000999000999,Vis
MOTOR,104416,0.8077211107569422,0.7232947705923162,0.000999000999000999,SalVentAttn
WM,104416,0.7755999099994374,0.6552562203513771,0.000999000999000999,SalVentAttn
GAMBLING,104416,0.6921735135844599,0.45816961356008473,0.00999000999000999,SomMot
RELATIONAL,104416,0.785758160988506,0.6314285714285715,0.000999000999000999,Vis
SOCIAL,104416,0.7981092381827386,0.606139163369771,0.000999000999000999,Default
EMOTION,104416,0.7789093056831604,0.6223833273957962,0.000999000999000999,Cont
LANGUAGE,104416,0.846086663041644,0.7159471621697634,0.000999000999000999,Default
MOTOR,104820,0.7349012806330039,0.5930915193219957,0.000999000999000999,Default
WM,104820,0.8283121144507153,0.8017130107063168,0.000999000999000999,DorsAttn
GAMBLING,104820,0.6842094013087582,0.4836161476009224,0.015984015984015984,DorsAttn
RELATIONAL,104820,0.8484728029550185,0.750296251851574,0.000999000999000999,Cont
SOCIAL,104820,0.7473354208463803,0.5943466521665759,0.001998001998001998,Cont
EMOTION,104820,0.7786481165507284,0.606644291526822,0.000999000999000999,Default
LANGUAGE,104820,0.8372958580991129,0.744122025762661,0.000999000999000999,Default
MOTOR,105014,0.77217351358446,0.5903613147582172,0.000999000999000999,SalVentAttn
WM,105014,0.8063630397689985,0.6264479777998613,0.000999000999000999,Cont
GAMBLING,105014,0.7529274557965987,0.5298325614535091,0.000999000999000999,Default
RELATIONAL,105014,0.8269718560741004,0.6703148144675904,0.000999000999000999,Cont
SOCIAL,105014,0.820006187538672,0.649972812330077,0.000999000999000999,Cont
EMOTION,105014,0.7504237526484541,0.5235784598653741,0.000999000999000999,Default
LANGUAGE,105014,0.8369802936268351,0.7779185494909342,0.000999000999000999,Default
MOTOR,105115,0.7568872930455814,0.6208728179551122,0.000999000999000999,SalVentAttn
WM,105115,0.8394539965874785,0.6924101400633753,0.000999000999000999,DorsAttn
GAMBLING,105115,0.7266939793373709,0.5365449159057244,0.000999000999000999,Limbic
RELATIONAL,105115,0.7436052725329533,0.6650321564509778,0.000999000999000999,SalVentAttn
SOCIAL,105115,0.7521864511653197,0.5736723979524871,0.000999000999000999,Cont
EMOTION,105115,0.7032919580747379,0.5160349127182045,0.000999000999000999,Vis
LANGUAGE,105115,0.8603195019968874,0.7561914761967261,0.000999000999000999,Default
MOTOR,105216,0.750150000937506,0.5875382971143569,0.000999000999000999,DorsAttn
WM,105216,0.8492025575159845,0.7558594116213225,0.000999000999000999,DorsAttn
GAMBLING,105216,0.7301222507640672,0.5130386439915249,0.000999000999000999,SalVentAttn
RELATIONAL,105216,0.828621678885493,0.7373642960268502,0.000999000999000999,Cont
SOCIAL,105216,0.752479140494628,0.5260112875705473,0.000999000999000999,Cont
EMOTION,105216,0.7489473684210525,0.5305915661972886,0.000999000999000999,Default
LANGUAGE,105216,0.8237052106575665,0.7047632797704985,0.000999000999000999,Default
MOTOR,105620,0.7752106575666098,0.6266096038100237,0.000999000999000999,Default
WM,105620,0.8222333264582903,0.684236588978681,0.000999000999000999,DorsAttn
GAMBLING,105620,0.6917145107156919,0.4585151782198639,0.000999000999000999,Default
RELATIONAL,105620,0.7583668647929048,0.6492438077737986,0.000999000999000999,Cont
SOCIAL,105620,0.7693069956687227,0.6450336564603527,0.000999000999000999,Default
EMOTION,105620,0.746202913768211,0.639711623197645,0.000999000999000999,Cont
LANGUAGE,105620,0.8057142857142856,0.6722520765754786,0.000999000999000999,Default
MOTOR,105923,0.816129600810005,0.6186912418202613,0.000999000999000999,SomMot
WM,105923,0.8024369527309545,0.6175799223745148,0.000999000999000999,Vis
GAMBLING,105923,0.7247300920630755,0.579907561922262,0.000999000999000999,Default
RELATIONAL,105923,0.7557684735529597,0.5773920462002887,0.000999000999000999,Cont
SOCIAL,105923,0.7881283633022707,0.6585845536534602,0.000999000999000999,SalVentAttn
EMOTION,105923,0.8126638291489322,0.7239660247876549,0.000999000999000999,Default
LANGUAGE,105923,0.8460589128682054,0.7748682804267526,0.000999000999000999,Default
MOTOR,106319,0.6842502765642285,0.5104659404121275,0.001998001998001998,SalVentAttn
WM,106319,0.7656242851517822,0.6329171432321452,0.000999000999000999,Cont
GAMBLING,106319,0.6861221007631297,0.4726527665797911,0.000999000999000999,Limbic
RELATIONAL,106319,0.761760448502803,0.6544940280876755,0.000999000999000999,Vis
SOCIAL,106319,0.7387534922093263,0.5576888605553784,0.000999000999000999,Default
EMOTION,106319,0.6744850280314252,0.5751099694373089,0.000999000999000999,Vis
LANGUAGE,106319,0.7458635366471039,0.6190218063862899,0.000999000999000999,Default
MOTOR,106521,0.745350345939662,0.5739671497946862,0.000999000999000999,SomMot
WM,106521,0.7494322464515402,0.5854504715654473,0.000999000999000999,Cont
GAMBLING,106521,0.6953797836236476,0.509816623853899,0.004995004995004995,Cont
RELATIONAL,106521,0.7286826167663547,0.5551838448990306,0.016983016983016984,Vis
SOCIAL,106521,0.7646033412708828,0.5921984512403202,0.000999000999000999,Default
EMOTION,106521,0.8046297789361182,0.6703735023343895,0.000999000999000999,Cont
LANGUAGE,106521,0.8233354583466147,0.7354326589541184,0.000999000999000999,Default
MOTOR,106824,0.8112030075187969,0.6353332833330209,0.000999000999000999,SomMot
WM,106824,0.8590786192413703,0.6678433615210094,0.000999000999000999,Cont
GAMBLING,106824,0.64958262239139,0.4123835148969681,0.005994005994005994,DorsAttn
RELATIONAL,106824,0.7843198394989968,0.536562916018225,0.000999000999000999,Default
SOCIAL,106824,0.7749429058931617,0.6073181707385671,0.000999000999000999,DorsAttn
EMOTION,106824,0.8055192844955281,0.6399311870699191,0.000999000999000999,Vis
LANGUAGE,106824,0.8149727185794909,0.7958584741154631,0.000999000999000999,Default
MOTOR,107018,0.7643558397239982,0.6297359983499897,0.000999000999000999,SalVentAttn
WM,107018,0.8270322314514466,0.7049916561978512,0.000999000999000999,DorsAttn
GAMBLING,107018,0.6848896555603472,0.40319764498528116,0.000999000999000999,SalVentAttn
RELATIONAL,107018,0.7893388708679429,0.6156497853111581,0.000999000999000999,Cont
SOCIAL,107018,0.8033947087169294,0.6291284945530909,0.000999000999000999,Default
EMOTION,107018,0.8495976224851405,0.8223235145219657,0.000999000999000999,Default
LANGUAGE,107018,0.8497412483828023,0.8018997618735116,0.000999000999000999,Limbic
MOTOR,107321,0.7081343633397708,0.4458567866049163,0.061938061938061936,SomMot
WM,107321,0.7338660866630415,0.5524924530778317,0.000999000999000999,DorsAttn
GAMBLING,107321,0.6550587816173851,0.42206570041062746,0.07892107892107893,DorsAttn
RELATIONAL,107321,0.8115654472840454,0.6991305570659816,0.000999000999000999,Cont
SOCIAL,107321,0.7812532578328614,0.5946327789548685,0.000999000999000999,SalVentAttn
EMOTION,107321,0.7829409558809741,0.6244428402677515,0.000999000999000999,Cont
LANGUAGE,107321,0.8443549022181388,0.7697579359870999,0.000999000999000999,Default
MOTOR,107422,0.7857797236232725,0.7120666379164868,0.000999000999000999,SalVentAttn
WM,107422,0.8394163088519302,0.7247923424521403,0.000999000999000999,Cont
GAMBLING,107422,0.8069943562147263,0.7368278551740948,0.000999000999000999,Default
RELATIONAL,107422,0.7738252114075711,0.6715046969043557,0.000999000999000999,Vis
SOCIAL,107422,0.7575118594491215,0.6246888418052612,0.000999000999000999,Default
EMOTION,107422,0.7997206232538953,0.720006187538672,0.000999000999000999,Vis
LANGUAGE,107422,0.8260011625072656,0.7363722273264207,0.000999000999000999,Default
MOTOR,107725,0.7323970149813435,0.5610571316070725,0.000999000999000999,Default
WM,107725,0.6840265876661729,0.49539534622091386,0.017982017982017984,SomMot
GAMBLING,107725,0.7418251364071026,0.43585172407327544,0.000999000999000999,Cont
RELATIONAL,107725,0.7527108919430746,0.6282588641179008,0.000999000999000999,Default
SOCIAL,107725,0.7127622672641704,0.5460861005381282,0.001998001998001998,DorsAttn
EMOTION,107725,0.7337567734798341,0.5473170457315357,0.001998001998001998,Cont
LANGUAGE,107725,0.8201003131269571,0.7313914461965387,0.000999000999000999,Default
MOTOR,108020,0.7715435096469352,0.5492138075862973,0.000999000999000999,Default
WM,108020,0.797239982749892,0.6372266701666885,0.000999000999000999,Cont
GAMBLING,108020,0.7579425496409351,0.6373386083663021,0.000999000999000999,Default
RELATIONAL,108020,0.8165224157650985,0.6687893049331558,0.000999000999000999,Cont
SOCIAL,108020,0.8380839255245345,0.6667095419346369,0.000999000999000999,Default
EMOTION,108020,0.7417675735473346,0.5791078694241838,0.000999000999000999,Vis
LANGUAGE,108020,0.8487609922562015,0.7584441152757205,0.000999000999000999,Default
MOTOR,108222,0.8029032681454258,0.6285611160069751,0.000999000999000999,SomMot
WM,108222,0.8133780211126319,0.6762289764311026,0.000999000999000999,DorsAttn
GAMBLING,108222,0.7285781786136163,0.5416657604110026,0.000999000999000999,Cont
RELATIONAL,108222,0.7673061706635665,0.627219357620985,0.000999000999000999,Cont
SOCIAL,108222,0.749097931862074,0.44961299758123485,0.000999000999000999,Default
EMOTION,108222,0.7195588097425609,0.4732495828098925,0.000999000999000999,Cont
LANGUAGE,108222,0.8284480528003298,0.7003545647160294,0.000999000999000999,Default
MOTOR,108323,0.6929552059700372,0.5377347983424896,0.001998001998001998,SalVentAttn
WM,108323,0.8136157725985786,0.7198044362777267,0.000999000999000999,DorsAttn
GAMBLING,108323,0.7514701966887293,0.5516430727692048,0.000999000999000999,Default
RELATIONAL,108323,0.7096133725835786,0.573554834717717,0.000999000999000999,Vis
SOCIAL,108323,0.8583383646147789,0.727112669454184,0.000999000999000999,Cont
EMOTION,108323,0.8011272570453565,0.6388935555847224,0.000999000999000999,Cont
LANGUAGE,108323,0.8523718898243113,0.7217790111188195,0.000999000999000999,Vis
MOTOR,108525,0.7822646391539947,0.6473042956518478,0.000999000999000999,DorsAttn
WM,108525,0.7691959949749685,0.6153304708154425,0.000999000999000999,Cont
GAMBLING,108525,0.7543624022650142,0.552546265914162,0.000999000999000999,Default
RELATIONAL,108525,0.6653310333189582,0.4477556109725686,0.04895104895104895,Cont
SOCIAL,108525,0.7150053437833985,0.4031668947930924,0.000999000999000999,DorsAttn
EMOTION,108525,0.7805536909605685,0.646483228020175,0.000999000999000999,Cont
LANGUAGE,108525,0.755335908349427,0.5926135788348678,0.000999000999000999,Default
MOTOR,108828,0.7011656947855923,0.39811336320852003,0.000999000999000999,Cont
WM,108828,0.7585821161382257,0.583726960793505,0.000999000999000999,Cont
GAMBLING,108828,0.657688110550691,0.504071025443909,0.02097902097902098,Default
RELATIONAL,108828,0.8058055987849924,0.6170273564209776,0.000999000999000999,Cont
SOCIAL,108828,0.7665205407533796,0.580826880168001,0.000999000999000999,Default
EMOTION,108828,0.767249545309658,0.6555987849924061,0.000999000999000999,Vis
LANGUAGE,108828,0.812302514390715,0.7255151594697467,0.000999000999000999,Default
MOTOR,109123,0.7795723098269364,0.6823398271239195,0.000999000999000999,Default
WM,109123,0.8345620910130688,0.6583696773104831,0.000999000999000999,Cont
GAMBLING,109123,0.7361509759435996,0.5110335064594154,0.000999000999000999,Limbic
RELATIONAL,109123,0.7192481203007518,0.6013209457559109,0.000999000999000999,Vis
SOCIAL,109123,0.8056297226857667,0.6449661560384752,0.000999000999000999,SalVentAttn
EMOTION,109123,0.8010938818367613,0.7031359570997318,0.000999000999000999,Cont
LANGUAGE,109123,0.8195571222320138,0.7449415933849587,0.000999000999000999,Default
MOTOR,109325,0.7197020606378789,0.4612166951043444,0.000999000999000999,DorsAttn
WM,109325,0.7548287176794855,0.5930165188532428,0.000999000999000999,Vis
GAMBLING,109325,0.6733397708735679,0.45612716329477054,0.002997002997002997,Cont
RELATIONAL,109325,0.7973545459659122,0.6704788779929873,0.000999000999000999,Cont
SOCIAL,109325,0.7774893593084955,0.5515888849305307,0.000999000999000999,Default
EMOTION,109325,0.7143402771267319,0.4926760167251045,0.000999000999000999,SalVentAttn
LANGUAGE,109325,0.8178060487878047,0.6995646222788892,0.000999000999000999,Default
MOTOR,109830,0.7832520203251269,0.6810501940637129,0.000999000999000999,SalVentAttn
WM,109830,0.7857463484146775,0.6626184538653367,0.000999000999000999,Cont
GAMBLING,109830,0.6882298014362589,0.4981864886655541,0.003996003996003996,Default
RELATIONAL,109830,0.6807215045094033,0.4781334258339114,0.00999000999000999,DorsAttn
SOCIAL,109830,0.6555455346595915,0.4385551159694748,0.005994005994005994,Limbic
EMOTION,109830,0.7646374664841654,0.6686033037706486,0.000999000999000999,Default
LANGUAGE,109830,0.7318933868336678,0.6012540078375489,0.000999000999000999,Default
MOTOR,110007,0.7809562559765998,0.6111741323383271,0.000999000999000999,SalVentAttn
WM,110007,0.7650835317720736,0.5247229670185438,0.000999000999000999,Default
GAMBLING,110007,0.6723304520653254,0.450549565934787,0.015984015984015984,Default
RELATIONAL,110007,0.7654845967787298,0.5717283858024111,0.000999000999000999,Vis
SOCIAL,110007,0.8141482759267245,0.7256844730279564,0.000999000999000999,Default
EMOTION,110007,0.816574166088538,0.689609622560141,0.000999000999000999,Default
LANGUAGE,110007,0.8392985581159882,0.7254116588228675,0.000999000999000999,Default
MOTOR,110411,0.7973881086756791,0.6356510978193614,0.000999000999000999,SalVentAttn
WM,110411,0.8195434346464665,0.6497614985093657,0.000999000999000999,DorsAttn
GAMBLING,110411,0.7104710029437684,0.44234301464384146,0.000999000999000999,Default
RELATIONAL,110411,0.8198046237788985,0.658143550897193,0.000999000999000999,DorsAttn
SOCIAL,110411,0.8161738510865693,0.7535583972399827,0.000999000999000999,SalVentAttn
EMOTION,110411,0.7915451971574821,0.5895685598034986,0.000999000999000999,Cont
LANGUAGE,110411,0.8559122869517934,0.7891414321339508,0.000999000999000999,Default
MOTOR,110613,0.7864779779873623,0.72247632797705,0.001998001998001998,SomMot
WM,110613,0.829329120807005,0.6522020137625859,0.000999000999000999,Cont
GAMBLING,110613,0.7226373914836968,0.5423004518778242,0.000999000999000999,Default
RELATIONAL,110613,0.763852774079838,0.6069345433408958,0.000999000999000999,Default
SOCIAL,110613,0.7565216657604109,0.497386796167476,0.000999000999000999,Default
EMOTION,110613,0.777362796017475,0.610661316633229,0.000999000999000999,Vis
LANGUAGE,110613,0.8477514859467872,0.7991414321339508,0.000999000999000999,Default
MOTOR,111009,0.7623981399883747,0.5558219113869461,0.000999000999000999,SalVentAttn
WM,111009,0.8325995162469765,0.6862762267264171,0.000999000999000999,DorsAttn
GAMBLING,111009,0.727208482553016,0.5425440159000994,0.000999000999000999,SalVentAttn
RELATIONAL,111009,0.8494163088519303,0.666451727823299,0.000999000999000999,Cont
SOCIAL,111009,0.7884589278682991,0.6307230045187782,0.000999000999000999,SalVentAttn
EMOTION,111009,0.7453077831736448,0.532968331052069,0.000999000999000999,SalVentAttn
LANGUAGE,111009,0.8830579566122289,0.8322907018168862,0.000999000999000999,Default
MOTOR,111211,0.7106163163519771,0.46614553840961503,0.002997002997002997,SalVentAttn
WM,111211,0.8415397596234975,0.7490544315901975,0.000999000999000999,Cont
GAMBLING,111211,0.7383464271651697,0.49070556690979317,0.000999000999000999,Default
RELATIONAL,111211,0.7657030356439727,0.640917818236364,0.000999000999000999,DorsAttn
SOCIAL,111211,0.6909963812273826,0.5003397521234507,0.000999000999000999,Default
EMOTION,111211,0.7507515046969043,0.5972302326889543,0.000999000999000999,DorsAttn
LANGUAGE,111211,0.8388157425983912,0.7926915793223708,0.000999000999000999,Default
MOTOR,111312,0.7433367708548178,0.5091339320870755,0.000999000999000999,DorsAttn
WM,111312,0.813454334089588,0.6979761123507022,0.000999000999000999,Cont
GAMBLING,111312,0.6820137625860161,0.4608216301351883,0.000999000999000999,SomMot
RELATIONAL,111312,0.7693876211726323,0.6576384227401421,0.000999000999000999,Vis
SOCIAL,111312,0.7313591959949748,0.5186319914499465,0.000999000999000999,Default
EMOTION,111312,0.8270054187838672,0.6979322370764817,0.000999000999000999,Default
LANGUAGE,111312,0.8033941462134138,0.6660217876361727,0.000999000999000999,Default
MOTOR,111413,0.7210044437777735,0.5233264582903643,0.000999000999000999,SalVentAttn
WM,111413,0.8014561341008382,0.5648844055275345,0.000999000999000999,Cont
GAMBLING,111413,0.7065968537303357,0.4803420021375133,0.000999000999000999,Default
